seq	term
c473831_g1	"Intracellular trafficking, secretion, and vesicular transport"
c474439_g1	"Amino acid transport and metabolism"
c451833_g1	"Signal transduction mechanisms"
c465562_g2	"Inorganic ion transport and metabolism"
c448166_g1	"Signal transduction mechanisms"
c471435_g1	"Replication, recombination and repair"
c474317_g7	"Posttranslational modification, protein turnover, chaperones"
c468712_g1	"Lipid transport and metabolism"
c477771_g1	"Cell wall/membrane/envelope biogenesis"
c467785_g5	"Transcription"
c480606_g1	"Cell cycle control, cell division, chromosome partitioning"
c475968_g5	"Coenzyme transport and metabolism"
c479229_g3	"Cell wall/membrane/envelope biogenesis"
c455088_g1	"Posttranslational modification, protein turnover, chaperones"
c453177_g1	"Translation, ribosomal structure and biogenesis"
c467755_g4	"Replication, recombination and repair"
c479132_g2	"Replication, recombination and repair"
c459497_g1	"NA"
c472633_g1	"Lipid transport and metabolism"
c479209_g4	"Transcription"
c371051_g1	"NA"
c478207_g2	"Cytoskeleton"
c479115_g1	"Transcription"
c479816_g1	"Replication, recombination and repair"
c468810_g3	"Replication, recombination and repair"
c476339_g1	"Signal transduction mechanisms"
c470919_g1	"Signal transduction mechanisms"
c464955_g4	"Energy production and conversion"
c442334_g1	"Intracellular trafficking, secretion, and vesicular transport"
c470245_g1	"Defense mechanisms"
c464577_g11	"Posttranslational modification, protein turnover, chaperones"
c466209_g3	"Transcription"
c474787_g1	"Energy production and conversion"
c410718_g4	"Replication, recombination and repair"
c451587_g2	"Posttranslational modification, protein turnover, chaperones"
c469442_g1	"Coenzyme transport and metabolism"
c480558_g1	"Intracellular trafficking, secretion, and vesicular transport"
c454177_g1	"NA"
c449735_g1	"Posttranslational modification, protein turnover, chaperones"
c465448_g2	"NA"
c459319_g1	"Amino acid transport and metabolism"
c452665_g1	"Lipid transport and metabolism"
c475888_g3	"Signal transduction mechanisms"
c477765_g2	"Lipid transport and metabolism"
c467587_g1	"Extracellular structures"
c480449_g3	"Energy production and conversion"
c398022_g1	"Chromatin structure and dynamics"
c465332_g1	"Energy production and conversion"
c481328_g2	"NA"
c470509_g1	"Signal transduction mechanisms"
c476018_g1	"Energy production and conversion"
c439175_g2	"NA"
c472000_g1	"Energy production and conversion"
c480405_g3	"Replication, recombination and repair"
c467713_g3	"Signal transduction mechanisms"
c468348_g1	"Signal transduction mechanisms"
c474233_g1	"Cell cycle control, cell division, chromosome partitioning"
c472510_g7	"Replication, recombination and repair"
c468951_g1	"NA"
c460201_g2	"Amino acid transport and metabolism"
c474043_g2	"Cell cycle control, cell division, chromosome partitioning"
c463316_g1	"NA"
c479355_g2	"Nucleotide transport and metabolism"
c479051_g1	"Intracellular trafficking, secretion, and vesicular transport"
c452132_g1	"Carbohydrate transport and metabolism"
c455731_g1	"Signal transduction mechanisms"
c471412_g5	"Lipid transport and metabolism"
c452125_g1	"Transcription"
c468884_g2	"Signal transduction mechanisms"
c428116_g1	"Cytoskeleton"
c442027_g1	"Lipid transport and metabolism"
c478650_g1	"Posttranslational modification, protein turnover, chaperones"
c480549_g1	"Posttranslational modification, protein turnover, chaperones"
c460762_g2	"Cell cycle control, cell division, chromosome partitioning"
c196654_g1	"Amino acid transport and metabolism"
c476737_g1	"Transcription"
c476993_g1	"Replication, recombination and repair"
c422253_g1	"Energy production and conversion"
c471868_g3	"Transcription"
c479092_g2	"Intracellular trafficking, secretion, and vesicular transport"
c476630_g1	"Posttranslational modification, protein turnover, chaperones"
c448604_g1	"Posttranslational modification, protein turnover, chaperones"
c437977_g1	"Translation, ribosomal structure and biogenesis"
c440064_g1	"Posttranslational modification, protein turnover, chaperones"
c464553_g1	"Cell cycle control, cell division, chromosome partitioning"
c478005_g2	"Carbohydrate transport and metabolism"
c420912_g1	"Intracellular trafficking, secretion, and vesicular transport"
c475016_g2	"Amino acid transport and metabolism"
c410845_g1	"Intracellular trafficking, secretion, and vesicular transport"
c479834_g1	"Replication, recombination and repair"
c450981_g1	"Energy production and conversion"
c471818_g1	"RNA processing and modification"
c475179_g2	"Intracellular trafficking, secretion, and vesicular transport"
c466822_g1	"Chromatin structure and dynamics"
c372174_g1	"Chromatin structure and dynamics"
c433812_g1	"Intracellular trafficking, secretion, and vesicular transport"
c476243_g2	"Energy production and conversion"
c443549_g1	"Energy production and conversion"
c480108_g3	"Replication, recombination and repair"
c460861_g1	"Inorganic ion transport and metabolism"
c479933_g2	"Transcription"
c207971_g1	"Posttranslational modification, protein turnover, chaperones"
c476888_g2	"Signal transduction mechanisms"
c477168_g3	"Amino acid transport and metabolism"
c457988_g1	"Chromatin structure and dynamics"
c478130_g1	"Replication, recombination and repair"
c456191_g1	"Chromatin structure and dynamics"
c470972_g2	"Posttranslational modification, protein turnover, chaperones"
c260783_g1	"Cytoskeleton"
c450761_g1	"Posttranslational modification, protein turnover, chaperones"
c454189_g1	"Signal transduction mechanisms"
c474235_g2	"Transcription"
c457881_g1	"Replication, recombination and repair"
c480928_g1	"Energy production and conversion"
c479860_g1	"Replication, recombination and repair"
c478986_g1	"Posttranslational modification, protein turnover, chaperones"
c472915_g6	"Translation, ribosomal structure and biogenesis"
c470653_g3	"Replication, recombination and repair"
c458983_g1	"Energy production and conversion"
c466454_g3	"Transcription"
c470364_g1	"Amino acid transport and metabolism"
c461764_g1	"Signal transduction mechanisms"
c476298_g4	"Transcription"
c446980_g1	"Transcription"
c477763_g1	"Coenzyme transport and metabolism"
c465719_g1	"NA"
c457485_g1	"Posttranslational modification, protein turnover, chaperones"
c478990_g6	"Signal transduction mechanisms"
c407765_g1	"Replication, recombination and repair"
c477152_g2	"Transcription"
c471818_g1	"RNA processing and modification"
c474097_g2	"Posttranslational modification, protein turnover, chaperones"
c479068_g1	"Cytoskeleton"
c447689_g1	"Signal transduction mechanisms"
c372410_g1	"Translation, ribosomal structure and biogenesis"
c453186_g5	"NA"
c469786_g1	"Transcription"
c109352_g1	"NA"
c471332_g3	"Replication, recombination and repair"
c477224_g7	"NA"
c477701_g2	"Defense mechanisms"
c426869_g1	"Posttranslational modification, protein turnover, chaperones"
c466147_g1	"Carbohydrate transport and metabolism"
c475670_g6	"Translation, ribosomal structure and biogenesis"
c402056_g1	"Translation, ribosomal structure and biogenesis"
c479554_g4	"NA"
c477745_g1	"Carbohydrate transport and metabolism"
c405109_g1	"NA"
c465010_g1	"Posttranslational modification, protein turnover, chaperones"
c471133_g1	"NA"
c434562_g1	"NA"
c453177_g1	"Translation, ribosomal structure and biogenesis"
c478579_g9	"Amino acid transport and metabolism"
c477678_g1	"Replication, recombination and repair"
c478272_g1	"Lipid transport and metabolism"
c451587_g2	"Posttranslational modification, protein turnover, chaperones"
c478710_g1	"Intracellular trafficking, secretion, and vesicular transport"
c477530_g2	"NA"
c480488_g8	"Replication, recombination and repair"
c476416_g2	"Lipid transport and metabolism"
c404595_g1	"Nucleotide transport and metabolism"
c472894_g1	"Intracellular trafficking, secretion, and vesicular transport"
c474209_g1	"Replication, recombination and repair"
c471201_g2	"NA"
c471254_g1	"Lipid transport and metabolism"
c475804_g2	"Signal transduction mechanisms"
c464315_g1	"Carbohydrate transport and metabolism"
c433755_g1	"Signal transduction mechanisms"
c479429_g1	"Energy production and conversion"
c470064_g1	"Replication, recombination and repair"
c478921_g5	"Lipid transport and metabolism"
c418554_g1	"Transcription"
c461664_g4	"NA"
c448166_g1	"Signal transduction mechanisms"
c480172_g1	"Inorganic ion transport and metabolism"
c477080_g1	"NA"
c476448_g2	"Nucleotide transport and metabolism"
c449952_g1	"Transcription"
c466671_g1	"Signal transduction mechanisms"
c403025_g2	"Transcription"
c465488_g1	"Transcription"
c459923_g1	"NA"
c461248_g1	"Translation, ribosomal structure and biogenesis"
c466349_g1	"Posttranslational modification, protein turnover, chaperones"
c479037_g1	"Energy production and conversion"
c461056_g1	"Coenzyme transport and metabolism"
c471466_g2	"RNA processing and modification"
c431074_g1	"Coenzyme transport and metabolism"
c475872_g6	"Replication, recombination and repair"
c336800_g1	"Translation, ribosomal structure and biogenesis"
c477302_g11	"Cell cycle control, cell division, chromosome partitioning"
c468944_g1	"Signal transduction mechanisms"
c463145_g1	"Posttranslational modification, protein turnover, chaperones"
c468830_g3	"NA"
c466023_g1	"Signal transduction mechanisms"
c453877_g2	"Chromatin structure and dynamics"
c478141_g2	"Secondary metabolites biosynthesis, transport and catabolism"
c417212_g1	"Replication, recombination and repair"
c471208_g3	"Signal transduction mechanisms"
c472451_g2	"Replication, recombination and repair"
c419956_g1	"Transcription"
c477137_g1	"Cell cycle control, cell division, chromosome partitioning"
c470231_g2	"Transcription"
c451873_g1	"Transcription"
c470644_g3	"RNA processing and modification"
c480313_g1	"Amino acid transport and metabolism"
c478392_g1	"Signal transduction mechanisms"
c478814_g2	"Replication, recombination and repair"
c477023_g4	"NA"
c468190_g2	"Transcription"
c480993_g1	"Carbohydrate transport and metabolism"
c462713_g1	"Posttranslational modification, protein turnover, chaperones"
c425610_g1	"Intracellular trafficking, secretion, and vesicular transport"
c422424_g1	"Energy production and conversion"
c480896_g1	"Amino acid transport and metabolism"
c478022_g1	"Cytoskeleton"
c464404_g1	"Amino acid transport and metabolism"
c455299_g4	"Translation, ribosomal structure and biogenesis"
c470043_g3	"Energy production and conversion"
c463689_g5	"Signal transduction mechanisms"
c456286_g1	"NA"
c441853_g1	"Cytoskeleton"
c455553_g2	"Cytoskeleton"
c461520_g1	"Transcription"
c471581_g1	"Chromatin structure and dynamics"
c467134_g5	"Signal transduction mechanisms"
c426505_g1	"Transcription"
c452818_g1	"Energy production and conversion"
c455495_g2	"Replication, recombination and repair"
c463420_g2	"Lipid transport and metabolism"
c476298_g5	"Transcription"
c479797_g7	"Intracellular trafficking, secretion, and vesicular transport"
c403730_g1	"Intracellular trafficking, secretion, and vesicular transport"
c367669_g1	"Signal transduction mechanisms"
c470989_g1	"Energy production and conversion"
c385456_g1	"Chromatin structure and dynamics"
c471315_g1	"Amino acid transport and metabolism"
c454202_g2	"RNA processing and modification"
c479554_g6	"NA"
c446712_g1	"Signal transduction mechanisms"
c463375_g1	"Translation, ribosomal structure and biogenesis"
c479165_g4	"Translation, ribosomal structure and biogenesis"
c407937_g1	"NA"
c446522_g1	"NA"
c406321_g1	"Posttranslational modification, protein turnover, chaperones"
c381363_g1	"Translation, ribosomal structure and biogenesis"
c446980_g1	"Transcription"
c135234_g1	"Posttranslational modification, protein turnover, chaperones"
c479098_g2	"Replication, recombination and repair"
c435752_g1	"Energy production and conversion"
c455289_g1	"Replication, recombination and repair"
c480150_g1	"Energy production and conversion"
c409195_g1	"Replication, recombination and repair"
c447739_g3	"NA"
c476526_g3	"Energy production and conversion"
c479448_g2	"Replication, recombination and repair"
c463142_g14	"Replication, recombination and repair"
c465039_g2	"Posttranslational modification, protein turnover, chaperones"
c466864_g3	"Lipid transport and metabolism"
c472024_g1	"RNA processing and modification"
c475299_g1	"NA"
c468411_g1	"Posttranslational modification, protein turnover, chaperones"
c460493_g1	"Posttranslational modification, protein turnover, chaperones"
c477338_g1	"Translation, ribosomal structure and biogenesis"
c463779_g1	"Replication, recombination and repair"
c469402_g1	"Posttranslational modification, protein turnover, chaperones"
c440870_g1	"Transcription"
c454358_g1	"Extracellular structures"
c468912_g2	"NA"
c475503_g4	"Posttranslational modification, protein turnover, chaperones"
c440255_g2	"Replication, recombination and repair"
c474282_g1	"Transcription"
c447649_g1	"Inorganic ion transport and metabolism"
c456355_g1	"NA"
c468924_g2	"RNA processing and modification"
c476562_g6	"NA"
c469681_g1	"Signal transduction mechanisms"
c451654_g1	"Replication, recombination and repair"
c451705_g1	"Signal transduction mechanisms"
c474025_g1	"Translation, ribosomal structure and biogenesis"
c478231_g3	"NA"
c440296_g1	"Energy production and conversion"
c385313_g1	"Cytoskeleton"
c480329_g2	"Carbohydrate transport and metabolism"
c472218_g1	"Transcription"
c468137_g1	"Cytoskeleton"
c424187_g1	"Posttranslational modification, protein turnover, chaperones"
c453912_g1	"Nucleotide transport and metabolism"
c460295_g4	"Lipid transport and metabolism"
c414408_g1	"Cytoskeleton"
c437420_g1	"Posttranslational modification, protein turnover, chaperones"
c466846_g1	"Amino acid transport and metabolism"
c474448_g1	"Signal transduction mechanisms"
c469473_g1	"Translation, ribosomal structure and biogenesis"
c443118_g3	"Replication, recombination and repair"
c478814_g2	"Replication, recombination and repair"
c469197_g1	"Signal transduction mechanisms"
c473655_g1	"Posttranslational modification, protein turnover, chaperones"
c469949_g4	"Translation, ribosomal structure and biogenesis"
